    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  581        5.82       1.052      0.02094        1.073
  582        5.83       1.053      0.02105        1.074
  583        5.84       1.053      0.02116        1.074
  584        5.85       1.053      0.02127        1.074
  585        5.86       1.053      0.02138        1.075
  586        5.87       1.054      0.02149        1.075
  587        5.88       1.054       0.0216        1.076
  588        5.89       1.054      0.02171        1.076
  589         5.9       1.055      0.02182        1.076
  590        5.91       1.055      0.02193        1.077
  591        5.92       1.055      0.02205        1.077
  592        5.93       1.055      0.02216        1.077
  593        5.94       1.056      0.02227        1.078
  594        5.95       1.056      0.02239        1.078
  595        5.96       1.056       0.0225        1.079
  596        5.97       1.056      0.02261        1.079
  597        5.98       1.057      0.02273        1.079
  598        5.99       1.057      0.02284         1.08
  599           6       1.057      0.02296         1.08
  600        6.01       1.057      0.02308         1.08
  601        6.02       1.058      0.02319        1.081
  602        6.03       1.058      0.02331        1.081
  603        6.04       1.058      0.02342        1.082
  604        6.05       1.058      0.02354        1.082
  605        6.06       1.059      0.02366        1.082
  606        6.07       1.059      0.02378        1.083
  607        6.08       1.059      0.02389        1.083
  608        6.09       1.059      0.02401        1.083
  609         6.1        1.06      0.02413        1.084
  610        6.11        1.06      0.02425        1.084
  611        6.12        1.06      0.02437        1.084
  612        6.13        1.06      0.02449        1.085
  613        6.14       1.061      0.02461        1.085
  614        6.15       1.061      0.02473        1.086
  615        6.16       1.061      0.02485        1.086
  616        6.17       1.061      0.02498        1.086
  617        6.18       1.061       0.0251        1.087
  618        6.19       1.062      0.02522        1.087
  619         6.2       1.062      0.02534        1.087
  620        6.21       1.062      0.02547        1.088
  621        6.22       1.062      0.02559        1.088
  622        6.23       1.063      0.02571        1.088
  623        6.24       1.063      0.02584        1.089
  624        6.25       1.063      0.02596        1.089
  625        6.26       1.063      0.02609        1.089
  626        6.27       1.064      0.02621         1.09
  627        6.28       1.064      0.02634         1.09
  628        6.29       1.064      0.02646        1.091
  629         6.3       1.064      0.02659        1.091
  630        6.31       1.065      0.02672        1.091
  631        6.32       1.065      0.02684        1.092
  632        6.33       1.065      0.02697        1.092
  633        6.34       1.065       0.0271        1.092
  634        6.35       1.065      0.02723        1.093
  635        6.36       1.066      0.02736        1.093
  636        6.37       1.066      0.02749        1.093
  637        6.38       1.066      0.02761        1.094
  638        6.39       1.066      0.02774        1.094
  639         6.4       1.067      0.02787        1.094
  640        6.41       1.067      0.02801        1.095
  641        6.42       1.067      0.02814        1.095
  642        6.43       1.067      0.02827        1.095
  643        6.44       1.067       0.0284        1.096
  644        6.45       1.068      0.02853        1.096
  645        6.46       1.068      0.02866        1.097
  646        6.47       1.068       0.0288        1.097
  647        6.48       1.068      0.02893        1.097
  648        6.49       1.068      0.02906        1.098
  649         6.5       1.069       0.0292        1.098
  650        6.51       1.069      0.02933        1.098
  651        6.52       1.069      0.02947        1.099
  652        6.53       1.069       0.0296        1.099
  653        6.54        1.07      0.02974        1.099
  654        6.55        1.07      0.02987          1.1
  655        6.56        1.07      0.03001          1.1
  656        6.57        1.07      0.03015          1.1
  657        6.58        1.07      0.03028        1.101
  658        6.59       1.071      0.03042        1.101
  659         6.6       1.071      0.03056        1.101
  660        6.61       1.071       0.0307        1.102
  661        6.62       1.071      0.03084        1.102
  662        6.63       1.071      0.03098        1.102
  663        6.64       1.072      0.03111        1.103
  664        6.65       1.072      0.03125        1.103
  665        6.66       1.072      0.03139        1.103
  666        6.67       1.072      0.03154        1.104
  667        6.68       1.072      0.03168        1.104
  668        6.69       1.073      0.03182        1.104
  669         6.7       1.073      0.03196        1.105
  670        6.71       1.073       0.0321        1.105
  671        6.72       1.073      0.03224        1.106
  672        6.73       1.073      0.03239        1.106
  673        6.74       1.074      0.03253        1.106
